2025-09-16 14:56:54	INFO	FITSCoordinateUtil::fromFITSHeader	Neither SPECSYS nor VELREF keyword given, spectral reference frame not defined ...
2025-09-16 14:56:54	INFO	ImageRegion::fromRecord+	    [0, 0, 0, 0] to [2, 2, 2, 2]  (04:46:00.576, +44.50.12.522, 4.7351e+09Hz, I to 04:46:00.520, +44.50.13.123, 5.5351e+09Hz, U)
2025-09-16 14:56:54	INFO	ImageMaskAttacher::makeMask	Created mask `mask0'
2025-09-16 14:56:54	INFO	ImageRegion::fromRecord	Selected bounding box : 
2025-09-16 14:56:54	INFO	ImageRegion::fromRecord+	    [0, 0, 0, 0] to [2, 2, 2, 2]  (04:46:00.576, +44.50.12.522, 4.7351e+09Hz, I to 04:46:00.520, +44.50.13.123, 5.5351e+09Hz, U)
2025-09-16 14:56:54	INFO	SubImageFactory::createImage	Creating image 'test_8_2median' of shape [3, 3, 3, 1]
2025-09-16 14:56:54	INFO	ImageMaskAttacher::makeMask	Created mask `mask0'
2025-09-16 14:56:54	INFO	name::	No table opened.
2025-09-16 14:56:54	INFO	showcache::	The Table Cache is empty.
2025-09-16 14:56:54	INFO	name::	No table opened.
2025-09-16 14:56:54	INFO	name::	No table opened.
